"","a","c","path_estimate_y_x1.Y ~ X1","path_estimate_y_x2.Y ~ X2","sd_bootstrap_y_x1","Z_test_boot_y_x1.Y ~ X1","Z_test_boot_y_x2.Y ~ X2","perc_ci_lb_boot_y_x1","perc_ci_ub_boot_y_x1","perc_ci_sgn_same_y_x1","sd_delta_y_x1","Z_test_delta_y_x1.Y ~ X1","sd_delta_y_x2","Z_test_delta_y_x2.Y ~ X2","Sim_run","simulation_run","n","c_estimate"
"result.19",0,0,-0.0816374975155021,0.409736852577549,0.245892296490996,1,0,-0.410632019723527,0.420423929642925,0,0.137711026290476,1,0.073818396999182,0,19,1,100,0.00708762652759738
"result.20",0,0,-0.0927979105792775,0.469384282139311,0.198872949117956,1,0,-0.36174588296434,0.362844123260235,0,0.106221499085495,1,0.0744756699022749,0,20,1,100,-0.0395516957536435
"result.21",0,0,-0.0256069323632132,0.550174281101918,0.144171009674431,1,0,-0.270010104552802,0.256479327389399,0,0.1102885871718,1,0.0616423133407537,0,21,1,100,-0.120077479893922
"result.22",0,0,0.202314783944237,0.467293900862492,0.212817884787498,1,0,-0.325659800823414,0.407371152792296,0,0.0904922198489988,0,0.0711328587075893,0,22,1,100,0.00844272951026501
"result.23",0,0,-0.183186074120149,0.518860320366395,0.153790689485783,1,0,-0.406592503869519,0.272967005434827,0,0.108316314278616,1,0.0783079648336669,0,23,1,100,-0.109542874567705
"result.24",0,0,0.281602961677935,0.55543627723338,0.189908362876873,1,0,-0.225498851119752,0.479404613569127,0,0.104946234196269,0,0.0740204667654732,0,24,1,100,-0.200310295504676
"result.25",0,0,-0.204035180317188,0.550397604062864,0.214891801858868,1,0,-0.381827280202918,0.307976497580658,0,0.0785922357298032,0,0.0658926981498338,0,25,1,100,0.108440026352915
"result.26",0,0,0.0822807827348344,0.52811153870723,0.235990037953256,1,0,-0.459930412342911,0.406525813320997,0,0.109730082979036,1,0.0556530910910854,0,26,1,100,-0.00756770516348533
"result.27",0,0,0.178780460868033,0.524912515219602,0.193285151288286,1,0,-0.301298068179429,0.366366218488253,0,0.109180387595088,1,0.0892493612635996,0,27,1,100,0.172107908779285
"result.28",0,0,0.0937430496846978,0.566555350116698,0.104027403201219,1,0,-0.0943732409895211,0.308514388698118,0,0.123348311462298,1,0.0713785105067408,0,28,1,100,0.180220738667763
"result.29",0,0,-0.131848216781221,0.507680187962501,0.176011731226624,1,0,-0.343696967918887,0.266270561951223,0,0.0893809797488263,1,0.0625904806849184,0,29,1,100,-0.0935232556917362
"result.30",0,0,-0.152680967251077,0.504753808319741,0.157726773584963,1,0,-0.358852988307043,0.253870301562581,0,0.0828822856565553,1,0.0716799780848189,0,30,1,100,-0.125327340507692
"result.31",0,0,0.105251561485699,0.50910379348582,0.129972792023772,1,0,-0.180230335922992,0.388154507874688,0,0.105637506813018,1,0.0764209392039966,0,31,1,100,0.0733516383343087
"result.32",0,0,0.127520274182977,0.459034214578305,0.158231187221024,1,0,-0.262768795128979,0.361904832183192,0,0.0776798758129027,1,0.0811945925153531,0,32,1,100,0.0865131715076096
"result.33",0,0,-0.0628840407505201,0.579398633766115,0.133473971472184,1,0,-0.26481665978661,0.24286908595924,0,0.0986585896864136,1,0.0581141516505495,0,33,1,100,-0.139432470656618
"result.34",0,0,-0.310156935674543,0.371821765569014,0.103794626631314,0,0,-0.508359962656266,-0.105423385567431,1,0.108890256469398,0,0.10873897719393,0,34,1,100,-0.116478548617872
"result.35",0,0,0.228149293985008,0.382941047400501,0.189201343830119,1,0,-0.344937070713995,0.510427332148192,0,0.155174425647158,1,0.119027315074101,0,35,1,100,0.0698389753900869
